battle_id,time,turn,attacker,defender,attack_type,stamina_cost,attacker_stamina_before,attacker_stamina_after_cost,attacker_stamina_after,defender_health_before,defender_health_after,hit,damage_dealt,critical,message
1,0.0,1,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,0.0,2,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,100.0,3,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,100.0,4,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,200.0,5,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,200.0,6,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,300.0,7,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,300.0,8,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,400.0,9,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,400.0,10,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,500.0,11,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,500.0,12,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,600.0,13,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,600.0,14,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,700.0,15,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,700.0,16,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,800.0,17,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,800.0,18,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,900.0,19,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,900.0,20,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,1000.0,21,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,1000.0,22,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,1100.0,23,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,1100.0,24,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,1200.0,25,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,1200.0,26,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,1300.0,27,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,1300.0,28,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,1400.0,29,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
1,1400.0,30,Mike Tyson,Reze,skip,0,0,0,0,930,930,False,0,False,Mike Tyson is exhausted and rests.
1,1500.0,31,Reze,Mike Tyson,skip,0,0,0,0,1080,1080,False,0,False,Reze is exhausted and rests.
